===============================================================
           Sistemas Distribuí­dos Prof. Elias
          LOG do Trabalho Prático 0, Tarefa 0
      Digitar, compilar e executar o programa tempo.c
   Este programa foi executado para: N=20 processos.
           Tempo Total de Simulação = 1200
===============================================================
[55.0, Proc.16, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0  0  1 -1 -1  0  ]: Recebido mensagem de 15
[55.0, Proc. 7, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 6
[56.0, Proc.17, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0  0  1  1 -1  0  ]: Recebido mensagem de 16
[56.0, Proc. 8, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 7
[57.0, Proc. 9, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 8
[58.0, Proc.19, Rodada 1, Sorteio: -1  0 -1  0 -1  0  0  0 -1  0  0 -1 -1 -1  0  0 -1 -1  0  0  ]: Recebido mensagem de 18
[58.0, Proc.10, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 9
[59.0, Proc. 0, Rodada 1, Sorteio:  0  0 -1  0 -1  0  0  0 -1  0  0 -1 -1 -1  0  0 -1 -1  0  0  ]: Recebido mensagem de 19 com nova rodada e sorteie o numero 0
[59.0, Proc.11, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 10
[60.0, Proc.12, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 11
[60.0, Proc. 3, Rodada 0, Sorteio:  1  0  1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 2
[61.0, Proc.13, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 12
[61.0, Proc. 4, Rodada 0, Sorteio:  1  0  1  0  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 3
[62.0, Proc.14, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0 -1 -1 -1 -1  0  ]: Recebido mensagem de 13
[62.0, Proc. 5, Rodada 0, Sorteio:  1  0  1  0  1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 4
