===============================================================
           Sistemas Distribuí­dos Prof. Elias
          LOG do Trabalho Prático 0, Tarefa 0
      Digitar, compilar e executar o programa tempo.c
   Este programa foi executado para: N=10 processos.
           Tempo Total de Simulação = 400
===============================================================
[150.0, Proc. 2, Rodada 1, Sorteio:  1  0  1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 1
[151.0, Proc. 3, Rodada 1, Sorteio:  1  0  1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 2
[153.0, Proc. 5, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 4
[154.0, Proc. 6, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 5
[155.0, Proc. 7, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 6
[156.0, Proc. 8, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 7
[157.0, Proc. 9, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 8
[158.0, Proc. 0, Rodada 2, Sorteio:  0  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 9
[159.0, Proc. 1, Rodada 2, Sorteio:  0  0 -1  0  0  0  0  0  0  0  ]: Processo 1 e recebeu mensagem de 0 com nova rodada e nao sou candidato
[160.0, Proc. 3, Rodada 1, Sorteio:  1  0  1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 2
[162.0, Proc. 5, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 4
[163.0, Proc. 6, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 5
[164.0, Proc. 7, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 6
[165.0, Proc. 8, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 7
[166.0, Proc. 9, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 8
[167.0, Proc. 0, Rodada 2, Sorteio:  0  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 9
[168.0, Proc. 1, Rodada 2, Sorteio:  0  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 0
[169.0, Proc. 2, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Recebido mensagem de 1 com nova rodada e sorteie o numero 1
[169.0, Proc. 2, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Eleito um lider
[171.0, Proc. 5, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 4
[172.0, Proc. 6, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 5
[173.0, Proc. 7, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 6
[174.0, Proc. 8, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 7
[175.0, Proc. 9, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 8
[176.0, Proc. 0, Rodada 2, Sorteio:  0  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 9
[177.0, Proc. 1, Rodada 2, Sorteio:  0  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 0
[178.0, Proc. 2, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Recebido mensagem de 1
[178.0, Proc. 2, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Eleito um lider
[179.0, Proc. 3, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Processo 3 e recebeu mensagem de 2 com nova rodada e nao sou candidato
[179.0, Proc. 3, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Eleito um lider
[180.0, Proc. 5, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 4
[181.0, Proc. 6, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 5
[182.0, Proc. 7, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 6
[183.0, Proc. 8, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 7
[184.0, Proc. 9, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 8
[185.0, Proc. 0, Rodada 2, Sorteio:  0  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 9
[186.0, Proc. 1, Rodada 2, Sorteio:  0  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 0
[187.0, Proc. 2, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Recebido mensagem de 1
[187.0, Proc. 2, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Eleito um lider
[188.0, Proc. 3, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Recebido mensagem de 2
[188.0, Proc. 3, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Eleito um lider
[189.0, Proc. 4, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 3
[189.0, Proc. 4, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Eleito um lider
[190.0, Proc. 6, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 5
[191.0, Proc. 7, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 6
[192.0, Proc. 8, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 7
[193.0, Proc. 9, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 8
[194.0, Proc. 0, Rodada 2, Sorteio:  0  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 9
[195.0, Proc. 1, Rodada 2, Sorteio:  0  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 0
[196.0, Proc. 2, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Recebido mensagem de 1
[196.0, Proc. 2, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Eleito um lider
[197.0, Proc. 3, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Recebido mensagem de 2
[197.0, Proc. 3, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Eleito um lider
[198.0, Proc. 4, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Recebido mensagem de 3
[198.0, Proc. 4, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Eleito um lider
[199.0, Proc. 5, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 4
[199.0, Proc. 5, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Eleito um lider
[200.0, Proc. 7, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 6
[201.0, Proc. 8, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 7
